id,productName,productDescription,productPrice,productType
2568,Andalax,Andalax_8.9.9,2.59,Software
2569,Lotlux,Lotlux_3.3.2,9.83,Hardware
2570,Biodex,Biodex_4.8,8.54,Hardware
2571,Y-Solowarm,Y-Solowarm_0.8.0,0.47,Software
2572,Konklux,Konklux_6.9,5.75,Service
2573,Sub-Ex,Sub-Ex_3.8,1.97,Hardware
2574,Redhold,Redhold_1.0,8.48,Hardware
2575,Lotlux,Lotlux_7.59,3.77,Software
2576,Andalax,Andalax_0.71,0.39,Software
2577,Prodder,Prodder_9.4.1,9.18,Hardware
2578,Ronstring,Ronstring_7.7.0,7.49,Hardware
2579,Biodex,Biodex_2.2,5.18,Service
2580,Voltsillam,Voltsillam_0.88,6.78,Software
2581,Span,Span_7.8,8.53,Service
2582,Tampflex,Tampflex_0.7.9,4.68,Hardware
2583,Daltfresh,Daltfresh_8.55,8.77,Hardware
2584,Fintone,Fintone_4.3,1.94,Hardware
2585,Andalax,Andalax_0.4.2,0.03,Hardware
2586,Toughjoyfax,Toughjoyfax_6.59,6.63,Software
2587,Andalax,Andalax_0.8.4,2.48,Software
2588,Subin,Subin_0.99,3.98,Service
2589,Ronstring,Ronstring_5.26,1.75,Hardware
2590,Namfix,Namfix_8.6,4.37,Hardware
2591,Lotstring,Lotstring_0.7.2,7.3,Service
2592,Regrant,Regrant_5.97,7.33,Service
2593,Ronstring,Ronstring_0.1.7,3.4,Hardware
2594,Sonsing,Sonsing_5.68,1.9,Hardware
2595,Zaam-Dox,Zaam-Dox_0.6.4,1.59,Hardware
2596,Vagram,Vagram_1.2.6,9.06,Hardware
2597,Opela,Opela_0.6.3,4.72,Hardware
2598,Konklux,Konklux_0.8.1,0.16,Software
2599,Aerified,Aerified_2.67,4.41,Hardware
2600,Otcom,Otcom_2.97,1.35,Service
2601,Andalax,Andalax_0.2.4,3.14,Software
2602,Gembucket,Gembucket_6.3,9.48,Service
2603,Matsoft,Matsoft_0.38,9.45,Hardware
2604,Greenlam,Greenlam_0.48,2.48,Service
2605,It,It_8.71,3.62,Hardware
2606,Holdlamis,Holdlamis_8.9,2.71,Software
2607,Alphazap,Alphazap_5.2,3.86,Service
2608,Vagram,Vagram_1.5.7,6.44,Software
2609,Sub-Ex,Sub-Ex_9.81,8.37,Software
2610,Tin,Tin_4.01,1.13,Service
2611,Biodex,Biodex_0.2.7,8.58,Hardware
2612,Sonair,Sonair_0.58,9.54,Hardware
2613,Konklux,Konklux_4.1.8,7.43,Hardware
2614,Y-find,Y-find_0.33,1.34,Hardware
2615,It,It_0.4.6,6.47,Hardware
2616,Hatity,Hatity_5.22,8.26,Hardware
2617,Bamity,Bamity_4.9,5.59,Software
2618,Trippledex,Trippledex_0.5.1,9.12,Service
2619,Stronghold,Stronghold_2.0,6.31,Service
2620,Tin,Tin_4.8,3.73,Service
2621,Voyatouch,Voyatouch_0.58,0.38,Software
2622,Biodex,Biodex_7.88,1.24,Hardware
2623,Kanlam,Kanlam_0.56,0.66,Service
2624,Holdlamis,Holdlamis_1.4.0,3.27,Software
2625,Tresom,Tresom_0.68,9.21,Software
2626,Tampflex,Tampflex_0.59,1.16,Software
2627,Ventosanzap,Ventosanzap_2.88,0.34,Service
2628,Greenlam,Greenlam_0.24,6.78,Software
2629,Sonair,Sonair_0.8.0,2.34,Software
2630,Y-find,Y-find_0.4.4,4.65,Hardware
2631,Regrant,Regrant_2.4,6.17,Hardware
2632,Keylex,Keylex_7.1,4.85,Hardware
2633,Tempsoft,Tempsoft_0.18,8.74,Hardware
2634,Tin,Tin_0.3.7,1.96,Software
2635,Vagram,Vagram_0.1.9,2.28,Hardware
2636,Toughjoyfax,Toughjoyfax_6.45,6.97,Hardware
2637,Zaam-Dox,Zaam-Dox_9.49,1.41,Hardware
2638,Keylex,Keylex_3.3.1,3.56,Software
2639,Mat Lam Tam,Mat Lam Tam_3.96,5.02,Service
2640,Ronstring,Ronstring_5.8,0.46,Software
2641,Cardify,Cardify_1.9.5,3.06,Software
2642,Kanlam,Kanlam_0.3.1,6.63,Software
2643,Voyatouch,Voyatouch_0.4.3,5,Service
2644,Zontrax,Zontrax_5.8.0,9.12,Hardware
2645,Cardguard,Cardguard_2.6,6.62,Hardware
2646,Tampflex,Tampflex_0.6.8,7.09,Software
2647,Voyatouch,Voyatouch_0.86,9.19,Hardware
2648,Voyatouch,Voyatouch_0.9.6,8.58,Software
2649,Latlux,Latlux_0.1.9,9.85,Software
2650,Cardguard,Cardguard_0.10,3.48,Service
2651,Stim,Stim_5.0,4.11,Software
2652,Veribet,Veribet_3.0,4.43,Service
2653,Cardify,Cardify_0.38,5.63,Hardware
2654,Zoolab,Zoolab_1.70,5.73,Software
2655,Sonair,Sonair_0.23,1.74,Hardware
2656,Sonsing,Sonsing_5.57,6.66,Hardware
2657,Solarbreeze,Solarbreeze_6.79,0.38,Service
2658,Konklab,Konklab_1.3,1.83,Hardware
2659,Stim,Stim_0.5.5,4.02,Service
2660,Overhold,Overhold_4.7.2,5.02,Service
2661,Aerified,Aerified_0.2.5,8.02,Hardware
2662,Zamit,Zamit_3.28,5.35,Hardware
2663,Andalax,Andalax_1.8,7.75,Software
2664,Lotlux,Lotlux_2.50,4.87,Service
2665,Cardguard,Cardguard_0.9.3,2.29,Hardware
2666,Job,Job_1.9,7.43,Service
2667,Zaam-Dox,Zaam-Dox_1.6.1,6.17,Hardware
2668,Opela,Opela_0.24,7.31,Service
2669,Stringtough,Stringtough_9.03,4.67,Service
2670,Bigtax,Bigtax_1.9,6.08,Hardware
2671,Stringtough,Stringtough_0.1.8,4.58,Hardware
2672,Tin,Tin_0.75,5.96,Software
2673,Cardguard,Cardguard_8.9,7.54,Hardware
2674,Y-Solowarm,Y-Solowarm_9.59,1.73,Service
2675,Y-Solowarm,Y-Solowarm_0.5.3,5.58,Service
2676,Greenlam,Greenlam_9.47,0.98,Hardware
2677,Voyatouch,Voyatouch_0.1.3,4.02,Hardware
2678,Lotlux,Lotlux_6.87,1.59,Service
2679,Hatity,Hatity_0.2.1,9.79,Software
2680,Latlux,Latlux_4.2,2.21,Service
2681,Veribet,Veribet_3.44,0.94,Service
2682,Sonair,Sonair_4.9,2.56,Software
2683,Tampflex,Tampflex_0.79,2.08,Software
2684,Kanlam,Kanlam_0.3.4,5.39,Hardware
2685,Aerified,Aerified_2.05,3.23,Hardware
2686,Bamity,Bamity_9.69,8.25,Hardware
2687,Alpha,Alpha_0.66,2.53,Hardware
2688,Asoka,Asoka_9.2.7,2.68,Software
2689,Zontrax,Zontrax_8.46,6.04,Software
2690,Y-Solowarm,Y-Solowarm_3.49,8.66,Software
2691,Holdlamis,Holdlamis_3.3,8.52,Hardware
2692,Cardguard,Cardguard_5.25,5.18,Hardware
2693,Transcof,Transcof_7.0.4,1.99,Hardware
2694,Ventosanzap,Ventosanzap_3.11,9.76,Software
2695,Alpha,Alpha_0.3.2,8.59,Hardware
2696,Keylex,Keylex_5.7.0,4.17,Service
2697,Prodder,Prodder_3.31,8.03,Software
2698,Bigtax,Bigtax_1.7,0.44,Hardware
2699,Stim,Stim_7.62,2,Hardware
2700,Flexidy,Flexidy_0.99,1.57,Hardware
2701,Span,Span_0.16,5.7,Software
2702,Regrant,Regrant_0.6.0,8.07,Hardware
2703,Ventosanzap,Ventosanzap_5.9,2.65,Hardware
2704,Stringtough,Stringtough_5.2.5,9.73,Software
2705,Quo Lux,Quo Lux_8.7,5.79,Hardware
2706,Opela,Opela_8.3,2.06,Software
2707,Tampflex,Tampflex_2.50,8.68,Service
2708,Andalax,Andalax_0.7.1,2.03,Software
2709,Bytecard,Bytecard_4.52,4.79,Service
2710,Lotstring,Lotstring_0.80,1.7,Service
2711,Duobam,Duobam_3.1,0.3,Software
2712,Solarbreeze,Solarbreeze_3.6.3,5.36,Hardware
2713,Span,Span_8.65,1.4,Hardware
2714,Prodder,Prodder_0.12,7.21,Hardware
2715,Transcof,Transcof_2.9,2.18,Service
2716,Cookley,Cookley_0.36,6.69,Hardware
2717,Veribet,Veribet_7.5.5,2.31,Software
2718,Toughjoyfax,Toughjoyfax_0.6.9,3.57,Hardware
2719,Gembucket,Gembucket_4.12,4.36,Software
2720,Temp,Temp_0.5.2,1.21,Software
2721,Lotstring,Lotstring_0.5.3,8.31,Software
2722,Zamit,Zamit_9.3,0.64,Software
2723,Alpha,Alpha_0.9.0,4.78,Software
2724,Bitchip,Bitchip_0.9.2,3.81,Software
2725,Job,Job_0.5.4,4.52,Software
2726,Veribet,Veribet_0.67,1.13,Service
2727,Toughjoyfax,Toughjoyfax_0.7.0,8.04,Service
2728,Job,Job_0.8.0,0.66,Hardware
2729,Domainer,Domainer_6.92,7.34,Hardware
2730,Redhold,Redhold_1.4.3,8.02,Hardware
2731,Y-Solowarm,Y-Solowarm_0.79,1.59,Hardware
2732,Zaam-Dox,Zaam-Dox_0.91,1.92,Hardware
2733,Prodder,Prodder_0.2.2,8.34,Software
2734,Bigtax,Bigtax_2.8.8,9.94,Service
2735,Voltsillam,Voltsillam_0.4.3,5.72,Hardware
2736,Domainer,Domainer_3.3.0,2.01,Service
2737,Job,Job_9.6.2,3.3,Service
2738,Bigtax,Bigtax_6.0.9,1.82,Service
2739,Zontrax,Zontrax_0.8.1,3.81,Hardware
2740,Voltsillam,Voltsillam_6.6.4,6.52,Hardware
2741,Tres-Zap,Tres-Zap_0.4.5,3.25,Hardware
2742,Rank,Rank_8.8.7,4.15,Software
2743,Vagram,Vagram_2.23,1.96,Service
2744,Ventosanzap,Ventosanzap_5.5,9.26,Hardware
2745,Wrapsafe,Wrapsafe_3.60,7.62,Hardware
2746,Tres-Zap,Tres-Zap_4.8,7.54,Hardware
2747,Flexidy,Flexidy_0.5.9,2.92,Service
2748,Transcof,Transcof_0.3.1,8.85,Service
2749,Sonsing,Sonsing_0.12,8.49,Hardware
2750,Zathin,Zathin_5.9,0.8,Service
2751,Trippledex,Trippledex_7.59,4.62,Service
2752,Wrapsafe,Wrapsafe_9.51,0.83,Software
2753,Asoka,Asoka_3.45,3.07,Hardware
2754,Tempsoft,Tempsoft_0.67,6.8,Software
2755,Bytecard,Bytecard_3.9,7.92,Hardware
2756,Andalax,Andalax_0.41,3.29,Hardware
2757,Voltsillam,Voltsillam_1.9,1.66,Hardware
2758,Fixflex,Fixflex_7.5,4.45,Software
2759,Prodder,Prodder_0.65,7.19,Hardware
2760,Holdlamis,Holdlamis_3.18,5.37,Service
2761,Sonair,Sonair_1.6,2.9,Software
2762,Cardguard,Cardguard_8.40,4.11,Service
2763,Tresom,Tresom_5.8,3.64,Software
2764,Overhold,Overhold_9.4,6.83,Service
2765,Subin,Subin_0.3.2,2.98,Software
2766,Span,Span_0.5.7,5.94,Service
2767,Fixflex,Fixflex_4.9,0.26,Hardware
2768,Job,Job_0.5.4,0.74,Service
2769,Wrapsafe,Wrapsafe_2.2.9,7.11,Service
2770,Tresom,Tresom_0.2.3,9.35,Hardware
2771,Opela,Opela_3.2,2,Software
2772,Regrant,Regrant_0.9.5,2.63,Service
2773,Stringtough,Stringtough_0.61,6.45,Hardware
2774,Lotstring,Lotstring_9.21,2.4,Software
2775,Bitwolf,Bitwolf_0.5.7,2.55,Software
2776,Gembucket,Gembucket_3.6,3.81,Service
2777,Mat Lam Tam,Mat Lam Tam_7.33,3.48,Hardware
2778,Trippledex,Trippledex_7.1.0,4.07,Hardware
2779,Otcom,Otcom_1.8.7,0.88,Software
2780,Bitwolf,Bitwolf_0.70,1.51,Hardware
2781,Namfix,Namfix_3.3,1,Hardware
2782,Alpha,Alpha_0.5.0,4.28,Service
2783,Zaam-Dox,Zaam-Dox_0.5.9,8.46,Hardware
2784,Gembucket,Gembucket_3.7.6,2.54,Hardware
2785,Vagram,Vagram_0.3.2,4.18,Software
2786,Wrapsafe,Wrapsafe_1.5.7,2.05,Software
2787,Span,Span_7.4,6.83,Hardware
2788,Rank,Rank_5.8.8,4.17,Software
2789,Zontrax,Zontrax_5.42,7.8,Hardware
2790,Aerified,Aerified_5.80,2.13,Software
2791,Bytecard,Bytecard_5.1.1,0.01,Hardware
2792,Tresom,Tresom_0.45,0.38,Hardware
2793,Alpha,Alpha_5.31,1.91,Service
2794,Flowdesk,Flowdesk_0.17,5.24,Service
2795,Holdlamis,Holdlamis_0.21,7.15,Hardware
2796,Bamity,Bamity_8.65,4.29,Software
2797,Transcof,Transcof_3.19,3.84,Hardware
2798,Duobam,Duobam_2.1.0,4.88,Service
2799,Namfix,Namfix_0.6.5,0.79,Software
2800,Temp,Temp_1.15,8.5,Service
2801,Fintone,Fintone_0.86,4.89,Service
2802,Tin,Tin_5.2.8,9.64,Service
2803,Y-Solowarm,Y-Solowarm_5.0,0.36,Hardware
2804,Namfix,Namfix_3.6.8,8.65,Service
2805,Latlux,Latlux_0.4.5,9.62,Software
2806,Hatity,Hatity_9.4.8,3.27,Service
2807,Toughjoyfax,Toughjoyfax_0.42,4.25,Software
2808,Biodex,Biodex_0.40,5.91,Service
2809,Ventosanzap,Ventosanzap_4.12,9.26,Service
2810,Fixflex,Fixflex_0.41,4.75,Hardware
2811,Fixflex,Fixflex_0.16,1.8,Hardware
2812,Flexidy,Flexidy_9.2.1,7.58,Service
2813,Kanlam,Kanlam_1.7.6,6.15,Software
2814,Ventosanzap,Ventosanzap_8.77,2.77,Service
2815,Prodder,Prodder_6.7.0,4.13,Software
2816,Gembucket,Gembucket_9.51,1.43,Hardware
2817,Domainer,Domainer_0.9.2,0.29,Service
2818,Tampflex,Tampflex_5.6,9.89,Hardware
2819,Span,Span_0.4.9,2.94,Software
2820,Lotlux,Lotlux_5.7.2,4.53,Software
2821,Flowdesk,Flowdesk_9.87,6.11,Service
2822,Konklab,Konklab_2.4.8,3.94,Service
2823,Redhold,Redhold_1.6,6.18,Software
2824,Trippledex,Trippledex_0.5.4,1.06,Service
2825,Daltfresh,Daltfresh_2.5.8,5.8,Service
2826,Flowdesk,Flowdesk_2.47,1.85,Service
2827,Gembucket,Gembucket_9.33,8.74,Software
2828,Fintone,Fintone_9.6,8.61,Software
2829,Ventosanzap,Ventosanzap_0.36,9.29,Software
2830,Overhold,Overhold_4.1.0,4.15,Software
2831,Fixflex,Fixflex_4.3.4,0.89,Software
2832,Zontrax,Zontrax_7.8,8.19,Hardware
2833,Alphazap,Alphazap_0.9.7,3.17,Software
2834,Namfix,Namfix_1.3,7.61,Software
2835,Sonsing,Sonsing_0.68,4.96,Service
2836,Flexidy,Flexidy_0.8.2,1.71,Service
2837,Konklux,Konklux_8.52,5.29,Hardware
2838,Subin,Subin_5.99,9.62,Software
2839,Subin,Subin_7.0.8,7.22,Software
2840,Tin,Tin_0.5.6,8.33,Service
2841,Alphazap,Alphazap_2.9.1,7.96,Hardware
2842,Pannier,Pannier_0.8.1,1.1,Software
2843,Fix San,Fix San_8.0.7,3.89,Software
2844,Sonair,Sonair_0.8.5,5.52,Service
2845,Rank,Rank_4.2.5,9.18,Hardware
2846,Voyatouch,Voyatouch_8.2,7.49,Software
2847,Lotstring,Lotstring_4.84,7.32,Hardware
2848,Fintone,Fintone_1.6.1,8.25,Service
2849,Otcom,Otcom_0.8.5,1.49,Hardware
2850,Bitwolf,Bitwolf_0.73,2.45,Service
2851,Overhold,Overhold_1.02,2.16,Service
2852,Bamity,Bamity_5.83,4.16,Software
2853,Konklab,Konklab_4.9.6,7.11,Service
2854,Temp,Temp_0.9.5,8.41,Hardware
2855,Cardguard,Cardguard_7.3,3.2,Service
2856,Tampflex,Tampflex_5.2,2.55,Hardware
2857,Bitwolf,Bitwolf_1.7.4,2.84,Software
2858,Lotstring,Lotstring_0.3.3,4.35,Service
2859,Ventosanzap,Ventosanzap_5.02,9.29,Hardware
2860,Temp,Temp_4.0,0.28,Software
2861,Fixflex,Fixflex_0.92,5.24,Hardware
2862,Tin,Tin_0.4.8,4.37,Hardware
2863,Opela,Opela_0.4.7,7.91,Software
2864,Fix San,Fix San_0.78,3.27,Software
2865,Sonair,Sonair_5.56,3.6,Software
2866,It,It_0.8.7,7.11,Service
2867,Stim,Stim_0.68,8.71,Service
2868,Sonair,Sonair_0.7.1,3,Hardware
2869,Alphazap,Alphazap_7.2.5,8.83,Hardware
2870,Stronghold,Stronghold_0.4.3,8.25,Software
2871,Otcom,Otcom_0.49,6.64,Software
2872,Cardguard,Cardguard_0.7.3,9.37,Software
2873,Biodex,Biodex_2.3,3.45,Software
2874,Subin,Subin_0.5.4,6.75,Service
2875,Tin,Tin_7.6,8.7,Service
2876,Cardguard,Cardguard_0.73,7.03,Software
2877,Keylex,Keylex_0.93,4.2,Software
2878,Fintone,Fintone_8.2.2,2.4,Service
2879,It,It_0.7.8,3.31,Hardware
2880,Keylex,Keylex_0.52,9.46,Hardware
2881,Asoka,Asoka_5.9.3,9.76,Service
2882,Zaam-Dox,Zaam-Dox_6.3,7.69,Hardware
2883,Trippledex,Trippledex_8.1,8.53,Hardware
2884,Stringtough,Stringtough_1.3,6.16,Hardware
2885,Fintone,Fintone_8.0,4.96,Hardware
2886,Domainer,Domainer_6.4,7.36,Hardware
2887,Keylex,Keylex_6.5.3,7.2,Software
2888,Mat Lam Tam,Mat Lam Tam_2.0,0.58,Hardware
2889,Pannier,Pannier_0.91,4.98,Software
2890,Daltfresh,Daltfresh_0.2.4,4.03,Software
2891,Toughjoyfax,Toughjoyfax_2.8,6.06,Software
2892,Transcof,Transcof_2.65,6.26,Hardware
2893,Konklab,Konklab_8.3,5.4,Service
2894,Alpha,Alpha_5.1.5,3.06,Service
2895,Bitwolf,Bitwolf_4.3,0.66,Service
2896,Flexidy,Flexidy_0.29,1.88,Service
2897,Prodder,Prodder_0.9.8,8.07,Hardware
2898,Konklux,Konklux_0.9.7,3.88,Hardware
2899,Toughjoyfax,Toughjoyfax_0.48,1.88,Service
2900,Toughjoyfax,Toughjoyfax_1.87,7.31,Hardware
2901,Zoolab,Zoolab_4.22,1.41,Service
2902,Trippledex,Trippledex_0.4.9,0.79,Hardware
2903,Latlux,Latlux_6.25,6.53,Software
2904,Daltfresh,Daltfresh_0.81,3.85,Service
2905,Cookley,Cookley_0.3.1,4.64,Software
2906,Biodex,Biodex_8.7,1.95,Hardware
2907,Zamit,Zamit_0.4.5,0.72,Service
2908,Lotlux,Lotlux_0.9.0,3.39,Software
2909,Ventosanzap,Ventosanzap_0.2.7,0.91,Software
2910,Wrapsafe,Wrapsafe_8.9.7,1.94,Service
2911,Voltsillam,Voltsillam_2.0,5,Software
2912,Flowdesk,Flowdesk_0.13,7.72,Service
2913,Home Ing,Home Ing_0.5.9,5.78,Software
2914,Tres-Zap,Tres-Zap_1.11,4.55,Service
2915,Zathin,Zathin_0.6.4,9.91,Software
2916,Holdlamis,Holdlamis_6.1.3,8.62,Service
2917,Latlux,Latlux_0.16,4.4,Service
2918,Zaam-Dox,Zaam-Dox_8.1.4,9.53,Service
2919,Sonair,Sonair_1.6.6,3.25,Software
2920,Tres-Zap,Tres-Zap_0.72,5.2,Hardware
2921,Rank,Rank_0.74,4.21,Service
2922,Cookley,Cookley_6.2,4.7,Hardware
2923,Sonair,Sonair_3.91,3.11,Hardware
2924,Daltfresh,Daltfresh_3.7.1,3.29,Hardware
2925,Matsoft,Matsoft_7.4.9,2.47,Service
2926,Konklab,Konklab_2.04,5.69,Software
2927,Lotstring,Lotstring_4.1,2.74,Software
2928,Aerified,Aerified_4.1,5.09,Hardware
2929,Regrant,Regrant_8.13,8.9,Hardware
2930,Ventosanzap,Ventosanzap_4.5.7,4.07,Software
2931,Span,Span_1.5,5.87,Service
2932,Treeflex,Treeflex_8.48,6.11,Service
2933,Opela,Opela_0.37,0.43,Service
2934,Fintone,Fintone_0.3.4,8.64,Service
2935,Ventosanzap,Ventosanzap_4.3.1,7.5,Software
2936,Treeflex,Treeflex_0.69,6.86,Hardware
2937,Bytecard,Bytecard_0.7.3,3.77,Hardware
2938,Asoka,Asoka_6.89,5.24,Service
2939,Tin,Tin_8.8.1,5.42,Service
2940,Bitchip,Bitchip_8.68,8.7,Software
2941,Zoolab,Zoolab_0.27,7.83,Software
2942,Stronghold,Stronghold_6.7,8.83,Hardware
2943,Cardify,Cardify_6.1,7.04,Service
2944,Bytecard,Bytecard_0.96,4.43,Software
2945,Cardify,Cardify_0.49,5.83,Hardware
2946,Tempsoft,Tempsoft_4.73,9.46,Software
2947,Viva,Viva_0.63,5.64,Hardware
2948,Y-Solowarm,Y-Solowarm_5.75,9.42,Software
2949,Tin,Tin_0.2.9,1.96,Service
2950,Holdlamis,Holdlamis_0.8.3,5.19,Software
2951,Voltsillam,Voltsillam_6.7,8.97,Service
2952,Ronstring,Ronstring_0.27,8.74,Software
2953,Cardify,Cardify_8.7.4,5.55,Service
2954,Otcom,Otcom_1.7,3.98,Service
2955,Asoka,Asoka_0.6.0,9.17,Service
2956,Otcom,Otcom_0.9.2,9.89,Software
2957,Latlux,Latlux_0.2.6,2.99,Software
2958,Veribet,Veribet_0.1.1,0.24,Hardware
2959,Redhold,Redhold_4.0.8,3.72,Hardware
2960,Cookley,Cookley_9.9.7,3.75,Service
2961,Wrapsafe,Wrapsafe_0.9.3,9.4,Software
2962,Lotlux,Lotlux_0.78,3.12,Hardware
2963,Latlux,Latlux_4.6,0.21,Software
2964,Treeflex,Treeflex_8.51,5.77,Software
2965,Hatity,Hatity_9.9.6,8.96,Hardware
2966,Subin,Subin_0.16,9.16,Software
2967,Zoolab,Zoolab_0.65,4.99,Service
2968,Bitwolf,Bitwolf_4.51,3.48,Software
2969,Tres-Zap,Tres-Zap_8.7.1,6.51,Hardware
2970,Subin,Subin_0.5.4,5.69,Software
2971,Solarbreeze,Solarbreeze_9.69,0.54,Service
2972,Tres-Zap,Tres-Zap_4.61,7.99,Software
2973,Daltfresh,Daltfresh_0.29,0.05,Software
2974,Flexidy,Flexidy_7.22,4.52,Service
2975,Hatity,Hatity_1.38,4.88,Hardware
2976,Matsoft,Matsoft_7.5.0,6.55,Software
2977,Biodex,Biodex_7.4,2.58,Service
2978,Otcom,Otcom_1.1,6.9,Service
2979,Holdlamis,Holdlamis_6.05,4.1,Service
2980,Stringtough,Stringtough_0.2.5,3.87,Hardware
2981,Daltfresh,Daltfresh_0.5.1,6.01,Software
2982,Stim,Stim_0.4.4,7.23,Service
2983,Zathin,Zathin_8.42,2.9,Service
2984,Tres-Zap,Tres-Zap_7.5,7.94,Software
2985,Tresom,Tresom_5.3,0.56,Software
2986,Y-find,Y-find_5.8.5,2.02,Hardware
2987,Namfix,Namfix_0.3.5,8.93,Service
2988,Overhold,Overhold_8.36,4.2,Software
2989,Sub-Ex,Sub-Ex_0.38,7.22,Software
2990,Aerified,Aerified_0.7.6,1.41,Service
2991,Lotstring,Lotstring_0.38,5.48,Service
2992,Alpha,Alpha_7.2,7.62,Service
2993,Y-find,Y-find_3.99,0.08,Hardware
2994,Voltsillam,Voltsillam_9.7,1.48,Hardware
2995,Stronghold,Stronghold_0.3.3,2.57,Service
2996,Otcom,Otcom_0.86,6.84,Software
2997,Subin,Subin_0.68,1.59,Service
2998,Bitchip,Bitchip_1.2.0,3.94,Software
2999,Stim,Stim_0.37,1.79,Service
3000,Transcof,Transcof_7.10,5.73,Service
3001,Zoolab,Zoolab_2.0.5,0.47,Service
3002,Vagram,Vagram_2.3,0.64,Software
3003,Cookley,Cookley_0.7.9,1.22,Hardware
3004,Fixflex,Fixflex_4.6,8.62,Software
3005,Solarbreeze,Solarbreeze_0.50,8.25,Software
3006,Lotstring,Lotstring_7.9.2,7.19,Service
3007,Cookley,Cookley_2.2,1.15,Service
3008,Asoka,Asoka_6.0,3.17,Service
3009,Quo Lux,Quo Lux_1.7,5.5,Software
3010,Konklux,Konklux_6.9,3.46,Service
3011,Holdlamis,Holdlamis_6.0.7,3.88,Hardware
3012,Home Ing,Home Ing_2.5,4.11,Software
3013,Stronghold,Stronghold_0.15,8.34,Service
3014,Rank,Rank_0.6.4,9.9,Hardware
3015,Ronstring,Ronstring_1.08,4.63,Hardware
3016,Temp,Temp_6.63,6.25,Service
3017,Kanlam,Kanlam_6.7.5,4.37,Hardware
3018,Zamit,Zamit_9.4.1,1.96,Software
3019,Ronstring,Ronstring_0.8.7,5.27,Hardware
3020,Zoolab,Zoolab_0.6.1,4.05,Hardware
3021,Sonsing,Sonsing_6.0,3.28,Software
3022,Holdlamis,Holdlamis_7.0,5.87,Software
3023,Stringtough,Stringtough_0.74,7.07,Service
3024,Vagram,Vagram_1.0.8,8.04,Hardware
3025,Trippledex,Trippledex_0.6.7,8.46,Hardware
3026,Tempsoft,Tempsoft_0.7.1,5.58,Hardware
3027,Job,Job_0.5.2,4.58,Software
3028,Bytecard,Bytecard_8.9,9.45,Software
3029,Keylex,Keylex_8.4.0,9.52,Hardware
3030,Flowdesk,Flowdesk_8.04,0.47,Hardware
3031,Voyatouch,Voyatouch_0.19,1.89,Software
3032,Domainer,Domainer_9.0,4.49,Software
3033,Transcof,Transcof_4.69,3.73,Hardware
3034,Alpha,Alpha_0.76,6.22,Software
3035,Zaam-Dox,Zaam-Dox_6.4,3.73,Software
3036,Andalax,Andalax_2.6.8,0.92,Service
3037,Cardguard,Cardguard_0.62,8.46,Service
3038,Keylex,Keylex_0.2.8,7.03,Hardware
3039,Latlux,Latlux_2.07,3.17,Service
3040,Asoka,Asoka_4.1,5.08,Service
3041,Bigtax,Bigtax_6.68,5.21,Software
3042,Bigtax,Bigtax_0.33,9.34,Service
3043,Keylex,Keylex_0.3.6,2.6,Software
3044,Pannier,Pannier_6.27,7.03,Software
3045,Flowdesk,Flowdesk_5.7,9.74,Service
3046,Voltsillam,Voltsillam_0.78,7.8,Service
3047,Alpha,Alpha_0.3.3,9.96,Hardware
3048,Y-Solowarm,Y-Solowarm_0.2.2,8.11,Hardware
3049,Tempsoft,Tempsoft_9.68,9.14,Software
3050,Subin,Subin_0.18,0.06,Service
3051,Domainer,Domainer_8.8.8,1.78,Software
3052,Zontrax,Zontrax_7.4,8.1,Service
3053,Home Ing,Home Ing_3.47,0.28,Service
3054,Tresom,Tresom_4.6.7,9.67,Hardware
3055,Matsoft,Matsoft_6.93,0.4,Service
3056,Domainer,Domainer_7.55,6.86,Software
3057,Voltsillam,Voltsillam_1.84,0.98,Hardware
3058,Span,Span_3.70,5.96,Service
3059,Lotlux,Lotlux_3.69,1.56,Software
3060,Stim,Stim_0.42,3.7,Hardware
3061,Stim,Stim_0.27,7.49,Service
3062,Bitchip,Bitchip_0.5.9,9.4,Software
3063,Lotstring,Lotstring_7.5.8,5.83,Software
3064,Cardify,Cardify_0.62,4.05,Hardware
3065,Tampflex,Tampflex_2.3.4,1.42,Hardware
3066,Alpha,Alpha_0.62,3.88,Service
3067,Andalax,Andalax_2.5.3,3.78,Hardware
3068,Tresom,Tresom_0.19,5.79,Service
3069,Cookley,Cookley_0.82,7.94,Service
3070,Opela,Opela_0.9.6,0.01,Hardware
3071,Tampflex,Tampflex_0.11,2.4,Software
3072,Tin,Tin_6.8.3,2.65,Hardware
3073,Duobam,Duobam_4.8.1,9.4,Software
3074,Zontrax,Zontrax_0.5.9,0.3,Software
3075,Otcom,Otcom_9.93,7.57,Hardware
3076,Bytecard,Bytecard_8.8.9,5.03,Service
3077,Redhold,Redhold_5.8.9,8.62,Software
3078,Zoolab,Zoolab_0.12,0.98,Service
3079,Zamit,Zamit_1.9,5.99,Hardware
3080,Hatity,Hatity_4.4,1.37,Software
3081,Quo Lux,Quo Lux_8.32,5.97,Hardware
3082,Temp,Temp_8.8,2.78,Service
3083,Latlux,Latlux_0.45,7.71,Service
3084,Cookley,Cookley_0.69,8.55,Hardware
3085,Flexidy,Flexidy_0.6.7,3.39,Hardware
3086,Matsoft,Matsoft_0.48,9.14,Service
